Entry No.,Headword,No.,Syllabary,Practical,Simple phonetics,Tone and length 1,Tone and length 2,Part of speech,Part of speech ch,Grammar sub entry,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 1E,Translation 1F,Translation 1G,Translation 1H,Translation 1 sub entry,Translation 2A,Translation 2B,Translation 2C,Translation 2D,Translation 2 sub entry,Translation 3A,Translation 3B,Translation 3C,Translation 3D,Translation 3 sub entry,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Word audio,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Source of sentence 1,Source of sentence 2,Source of sentence 3,Speaker of sentence 1,Speaker of sentence 2,Speaker of sentence 3,Notes on speaker of sentence 1,Notes on speaker of sentence 2,Notes on speaker of sentence 3,Status
841.3,ᎤᏝᏅᎢ,841,ᎤᏝᏅᎢ,uhlanv’i,u-tla-nv-i,ùhlạnv́’i,ù:hlanv́:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular non-progressive remote past tense,,he/she put it in a hole or a container,,,,,,,,,,,,,,,,,,,put in,container,hole,,,,,,,,,,,Sentence_for_entry_0841.m4a,ᏧᏂᎸᏫᏍᏓᏁᎯ ᏅᏯ *ᏓᏂᏢᏍᎦ* ᎦᏙᎯ ᎠᏔᎴᏒᎢ.,ju:ni:lv̌:hwísdà:ne̋:hi nv̀:ya *dà:ni:hlvsga* ga:dő:hi à:tale:sv̋:’i,The workers *are putting* some rocks in a hole in the ground.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
841.4,ᎦᏢᏍᎪᎢ,841,ᎦᏢᏍᎪᎢ,gahlvsgo’i,ga-tlv-s-go-i,gạhlṿ́sgọ́’i,gahlv́sgó’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular present habitual,,he/she puts it in a hole or a container,,,,,,,,,,,,,,,,,,,put in,container,hole,,,,,,,,,,,Sentence_for_entry_0841.m4a,ᏧᏂᎸᏫᏍᏓᏁᎯ ᏅᏯ *ᏓᏂᏢᏍᎦ* ᎦᏙᎯ ᎠᏔᎴᏒᎢ.,ju:ni:lv̌:hwísdà:ne̋:hi nv̀:ya *dà:ni:hlvsga* ga:dő:hi à:tale:sv̋:’i,The workers *are putting* some rocks in a hole in the ground.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
841.5,ᎯᏢᎦ,841,ᎯᏢᎦ,hihlvga,hi-tlv-ga,hịhlv̀ga,hihlv̀:ga,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,imperative with animate/ inanimate direct objects,,put it in a hole or a container!,,,,,,,,,,,,,,,,,,,put in,container,hole,,,,,,,,,,,Sentence_for_entry_0841.m4a,ᏧᏂᎸᏫᏍᏓᏁᎯ ᏅᏯ *ᏓᏂᏢᏍᎦ* ᎦᏙᎯ ᎠᏔᎴᏒᎢ.,ju:ni:lv̌:hwísdà:ne̋:hi nv̀:ya *dà:ni:hlvsga* ga:dő:hi à:tale:sv̋:’i,The workers *are putting* some rocks in a hole in the ground.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
841.6,ᎤᎵᏗ,841,ᎤᎵᏗ,uhldi,u-li-di,ụhldi,uhldi,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular infinitive,,to put something in a hole or a container,,,,,,,,,,,,,,,,,,,put in,container,hole,,,,,,,,,,,Sentence_for_entry_0841.m4a,ᏧᏂᎸᏫᏍᏓᏁᎯ ᏅᏯ *ᏓᏂᏢᏍᎦ* ᎦᏙᎯ ᎠᏔᎴᏒᎢ.,ju:ni:lv̌:hwísdà:ne̋:hi nv̀:ya *dà:ni:hlvsga* ga:dő:hi à:tale:sv̋:’i,The workers *are putting* some rocks in a hole in the ground.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
842.1,ᎦᏢᏍᎦ,842,ᎦᏢᏍᎦ,gahlvsga,ga-tlv-s-ga,gạhlvsga,gahlv:sga,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular,,he/she is sleepy,he/she is going to sleep,,,,,,,,,,,,,,,,,,sleepy,,,,,,,,,,,,,Sentence_for_entry_0842.m4a,ᏗᏂᏲᏟᏛ *ᏓᏂᏢᏍᎬ* ᎥᏍᎩᏅ ᎢᏳᏍᏗ ᏛᎣᎦᏂᎩᏒᎢ.,di:ni:yő:hlidv́: *dà:ni:hlv:sgv́* v̀:sginá iyű:sdi dv’o:ga:hnígì:sv:’î,The children *were getting sleepy*; that’s why we came back.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
842.2,ᏥᎸᏍᎦ,842,ᏥᎸᏍᎦ,ji’lvsga,tsi-lv-s-ga,jị’lvsga,ji’lv:sga,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,1st person singular with animate/ inanimate object,,I’m sleepy,I’m going to sleep,,,,,,,,,,,,,,,,,,sleepy,,,,tsi’lvsga,,,,,,,,,Sentence_for_entry_0842.m4a,ᏗᏂᏲᏟᏛ *ᏓᏂᏢᏍᎬ* ᎥᏍᎩᏅ ᎢᏳᏍᏗ ᏛᎣᎦᏂᎩᏒᎢ.,di:ni:yő:hlidv́: *dà:ni:hlv:sgv́* v̀:sginá iyű:sdi dv’o:ga:hnígì:sv:’î,The children *were getting sleepy*; that’s why we came back.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
842.3,ᎤᏢᏅᎢ,842,ᎤᏢᏅᎢ,uhlvhnv’i,u-tlv-nv-i,ùhlvhnv̌’i,ù:hlv:hnv̌:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular non-progressive remote past tense,,he/she was sleepy,he/she went to sleep,,,,,,,,,,,,,,,,,,sleepy,,,,uhlvnv’i,,,,,,,,,Sentence_for_entry_0842.m4a,ᏗᏂᏲᏟᏛ *ᏓᏂᏢᏍᎬ* ᎥᏍᎩᏅ ᎢᏳᏍᏗ ᏛᎣᎦᏂᎩᏒᎢ.,di:ni:yő:hlidv́: *dà:ni:hlv:sgv́* v̀:sginá iyű:sdi dv’o:ga:hnígì:sv:’î,The children *were getting sleepy*; that’s why we came back.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
842.4,ᎦᏢᏍᎪᎢ,842,ᎦᏢᏍᎪᎢ,gahlvsgo’i,ga-tlv-s-go-i,gạhlvsgó’i,gahlv:sgó:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular present habitual,,he/she is sleepy,he/she goes to sleep,,,,,,,,,,,,,,,,,,sleepy,,,,,,,,,,,,,Sentence_for_entry_0842.m4a,ᏗᏂᏲᏟᏛ *ᏓᏂᏢᏍᎬ* ᎥᏍᎩᏅ ᎢᏳᏍᏗ ᏛᎣᎦᏂᎩᏒᎢ.,di:ni:yő:hlidv́: *dà:ni:hlv:sgv́* v̀:sginá iyű:sdi dv’o:ga:hnígì:sv:’î,The children *were getting sleepy*; that’s why we came back.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
842.5,ᎯᏢᎾ,842,ᎯᏢᎾ,hihlvna,hi-tlv-na,hịhlv̌na,hihlv̌:na,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,imperative with animate/ inanimate direct objects,,be sleepy!,go to sleep!,,,,,,,,,,,,,,,,,,sleepy,,,,,,,,,,,,,Sentence_for_entry_0842.m4a,ᏗᏂᏲᏟᏛ *ᏓᏂᏢᏍᎬ* ᎥᏍᎩᏅ ᎢᏳᏍᏗ ᏛᎣᎦᏂᎩᏒᎢ.,di:ni:yő:hlidv́: *dà:ni:hlv:sgv́* v̀:sginá iyű:sdi dv’o:ga:hnígì:sv:’î,The children *were getting sleepy*; that’s why we came back.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
842.6,ᎤᏢᏅᏗ,842,ᎤᏢᏅᏗ,uhlvnhdi,u-tlv-nv-di,uhlṿnhdi,u:hlvnhdi,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular infinitive,,to be sleepy,to go to sleep,,,,,,,,,,,,,,,,,,sleepy,,,,,,,,,,,,,Sentence_for_entry_0842.m4a,ᏗᏂᏲᏟᏛ *ᏓᏂᏢᏍᎬ* ᎥᏍᎩᏅ ᎢᏳᏍᏗ ᏛᎣᎦᏂᎩᏒᎢ.,di:ni:yő:hlidv́: *dà:ni:hlv:sgv́* v̀:sginá iyű:sdi dv’o:ga:hnígì:sv:’î,The children *were getting sleepy*; that’s why we came back.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
843.1,ᎦᏁᎦ,843,ᎦᏁᎦ,gahnega,ga-ne-ga,gạhnéga,gahné:ga,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular,,he/she is taking it somewhere by hand,,,,,,,,refers to a flexible object,,,,,,,,,,,take somewhere,,,,ganega,,,,,,,,,Sentence_for_entry_0843.m4a,ᎦᏌᎴᏂ *ᎯᏄᎦ*‚ ᎤᏴᏜᎮᏃ.,gà:salě:ni *hihnù:ga* ù:hyv:dláhe:hno,*Take* a coat‚ because it’s cold.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
843.2,ᏥᏁᎦ,843,ᏥᏁᎦ,ji’nega,tsi-ne-ga,jị’néga,ji’né:ga,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,1st person singular with animate/ inanimate object,,I’m taking it somewhere by hand,,,,,,,,refers to a flexible object,,,,,,,,,,,take somewhere,,,,tsi’nega,,,,,,,,,Sentence_for_entry_0843.m4a,ᎦᏌᎴᏂ *ᎯᏄᎦ*‚ ᎤᏴᏜᎮᏃ.,gà:salě:ni *hihnù:ga* ù:hyv:dláhe:hno,*Take* a coat‚ because it’s cold.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
843.3,ᎤᏅᏒᎢ,843,ᎤᏅᏒᎢ,uhnvsv’i,u-nv-sv-i,ùhnv́sv̌’i,ù:hnv́:sv̌:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular non-progressive remote past tense,,he/she took it somewhere by hand,,,,,,,,refers to a flexible object,,,,,,,,,,,take somewhere,,,,unvsv’i,,,,,,,,,Sentence_for_entry_0843.m4a,ᎦᏌᎴᏂ *ᎯᏄᎦ*‚ ᎤᏴᏜᎮᏃ.,gà:salě:ni *hihnù:ga* ù:hyv:dláhe:hno,*Take* a coat‚ because it’s cold.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
843.4,ᎦᏁᎪᎢ,843,ᎦᏁᎪᎢ,gahnego’i,ga-ne-go-i,gạhnégó’i,gahné:gó:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular present habitual,,he/she takes it somewhere by hand,,,,,,,,refers to a flexible object,,,,,,,,,,,take somewhere,,,,ganego’i,,,,,,,,,Sentence_for_entry_0843.m4a,ᎦᏌᎴᏂ *ᎯᏄᎦ*‚ ᎤᏴᏜᎮᏃ.,gà:salě:ni *hihnù:ga* ù:hyv:dláhe:hno,*Take* a coat‚ because it’s cold.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
843.5,ᎯᏄᎦ,843,ᎯᏄᎦ,hihnuga,hi-nu-ga,hịhnùga,hihnù:ga,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,imperative with animate/ inanimate direct objects,,take it somewhere by hand!,,,,,,,,refers to a flexible object,,,,,,,,,,,take somewhere,,,,hinuga,,,,,,,,Word_0843.5.m4a,Sentence_for_entry_0843.m4a,ᎦᏌᎴᏂ *ᎯᏄᎦ*‚ ᎤᏴᏜᎮᏃ.,gà:salě:ni *hihnù:ga* ù:hyv:dláhe:hno,*Take* a coat‚ because it’s cold.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
843.6,ᎤᏅᏍᏗ,843,ᎤᏅᏍᏗ,uhnvsdi,u-nv-s-di,uhnv̀sdi,u:hnv̀:sdi,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular infinitive,,to take it somewhere by hand,,,,,,,,refers to a flexible object,,,,,,,,,,,take somewhere,,,,unvsdi,,,,,,,,,Sentence_for_entry_0843.m4a,ᎦᏌᎴᏂ *ᎯᏄᎦ*‚ ᎤᏴᏜᎮᏃ.,gà:salě:ni *hihnù:ga* ù:hyv:dláhe:hno,*Take* a coat‚ because it’s cold.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
844.1,ᎦᏁᎭ,844,ᎦᏁᎭ,gahneha,ga-ne-ha,gạhnẹ́ha,gahnéha,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular,,he/she is holding it,,,,,,,,refers to a flexible object,,,,,,,,,,,hold,take,,,ganeha,,,,,,,,,Sentence_for_entry_0844.m4a,ᎢᏤ ᎠᎿᏬ *ᏥᏁᎭ.*,ije̋ ahnawó*jí’neha*,*I am holding* a new shirt.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
844.2,ᏥᏁᎭ,844,ᏥᏁᎭ,jineha,tsi-ne-ha,jìnẹ́ha,jì:néha,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,1st person singular with animate/ inanimate object,,I’m holding it,,,,,,,,refers to a flexible object,,,,,,,,,,,hold,take,,,tsineha,,,,,,,,Word_0844.2.m4a,Sentence_for_entry_0844.m4a,ᎢᏤ ᎠᎿᏬ *ᏥᏁᎭ.*,ije̋ ahnawó*jí’neha*,*I am holding* a new shirt.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
844.3,ᏥᏁᎭ,844,ᏥᏁᎭ,ji’neha,tsi-ne-ha,jị’nẹ́ha,ji’néha,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular present habitual,,he/she holds it,,,,,,,,refers to a flexible object‚,,,,,,,,,,,hold,take,,,tsi’neha,,,,,,,,,Sentence_for_entry_0844.m4a,ᎢᏤ ᎠᎿᏬ *ᏥᏁᎭ.*,ije̋ ahnawó*jí’neha*,*I am holding* a new shirt.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
844.4,ᎦᏁᎰᎢ,844,ᎦᏁᎰᎢ,gahneho’i,ga-ne-ho-i,gạhnehó’i,gahne:hó:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,imperative with animate/ inanimate direct objects,,hold it!,,,,,,,,refers to a flexible object,,,,,,,,,,,hold,take,,,ganeho’i,,,,,,,,,Sentence_for_entry_0844.m4a,ᎢᏤ ᎠᎿᏬ *ᏥᏁᎭ.*,ije̋ ahnawó*jí’neha*,*I am holding* a new shirt.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
844.5,ᎯᏁᎮᏍᏗ,844,ᎯᏁᎮᏍᏗ,hihnehesdi,hi-ne-he-s-di,hịhnehésdi,hihne:hé:sdi,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular infinitive,,to hold it,,,,,,,,refers to a flexible object,,,,,,,,,,,hold,take,,,hinehesdi,,,,,,,,,Sentence_for_entry_0844.m4a,ᎢᏤ ᎠᎿᏬ *ᏥᏁᎭ.*,ije̋ ahnawó*jí’neha*,*I am holding* a new shirt.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
845.1,ᎦᏂᏙᎭ,845,ᎦᏂᏙᎭ,gahnidoha,ga-ni-do-ha,gạhnǐdôha,gahnǐ:dô:ha,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular,,he/she is handling it,,,,,,,,refers to a flexible object,,,,,,,,,,,handle,,,,ganidoha,,,,,,,,Word_0845.1.m4a,Sentence_for_entry_0845.m4a,ᎢᎾᏓ ᎤᎵᏬᏨ *ᎦᏂᏙᎭ.*,i:nada u:li:hwo:jv̋: *gahni:dô:ha*,*He’s handling* a dead snake.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
845.2,ᏥᏂᏙᎭ,845,ᏥᏂᏙᎭ,ji’nidoha,tsi-ni-do-ha,jị’nǐdôha,ji’nǐ:dô:ha,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,1st person singular with animate/ inanimate object,,I’m handling it,,,,,,,,refers to a flexible object,,,,,,,,,,,handle,,,,tsi’nidoha,,,,,,,,,Sentence_for_entry_0845.m4a,ᎢᎾᏓ ᎤᎵᏬᏨ *ᎦᏂᏙᎭ.*,i:nada u:li:hwo:jv̋: *gahni:dô:ha*,*He’s handling* a dead snake.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
845.3,ᎤᏂᏙᎸᎢ,845,ᎤᏂᏙᎸᎢ,uhnidolv’i,u-ni-do-lv-i,ùhnǐdôlv̌’i,ù:hnǐ:dô:lv̌:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular non-progressive remote past tense,,he/she handled it,,,,,,,,refers to a flexible object,,,,,,,,,,,handle,,,,unidolv’i,,,,,,,,,Sentence_for_entry_0845.m4a,ᎢᎾᏓ ᎤᎵᏬᏨ *ᎦᏂᏙᎭ.*,i:nada u:li:hwo:jv̋: *gahni:dô:ha*,*He’s handling* a dead snake.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
845.4,ᎦᏂᏙᎰᎢ,845,ᎦᏂᏙᎰᎢ,gahnidoho’i,ga-ni-do-ho-i,gạhnǐdôhó’i,gahnǐ:dô:hó:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular present habitual,,he/she handles it,,,,,,,,refers to a flexible object,,,,,,,,,,,handle,,,,ganidoho’i,,,,,,,,,Sentence_for_entry_0845.m4a,ᎢᎾᏓ ᎤᎵᏬᏨ *ᎦᏂᏙᎭ.*,i:nada u:li:hwo:jv̋: *gahni:dô:ha*,*He’s handling* a dead snake.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
845.5,ᎯᏂᏓ,845,ᎯᏂᏓ,hihnida,hi-ni-da,hịhnǐda,hihnǐ:da,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,imperative with animate/ inanimate direct objects,,handle it!,,,,,,,,refers to a flexible object,,,,,,,,,,,handle,,,,hinida,,,,,,,,,Sentence_for_entry_0845.m4a,ᎢᎾᏓ ᎤᎵᏬᏨ *ᎦᏂᏙᎭ.*,i:nada u:li:hwo:jv̋: *gahni:dô:ha*,*He’s handling* a dead snake.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
845.6,ᎤᏂᏓᏍᏗ,845,ᎤᏂᏓᏍᏗ,uhnidasdi,u-ni-da-s-di,uhnǐdâsdi,u:hnǐ:dâ:sdi,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular infinitive,,to handle it,,,,,,,,refers to a flexible object,,,,,,,,,,,handle,,,,unidasdi,,,,,,,,,Sentence_for_entry_0845.m4a,ᎢᎾᏓ ᎤᎵᏬᏨ *ᎦᏂᏙᎭ.*,i:nada u:li:hwo:jv̋: *gahni:dô:ha*,*He’s handling* a dead snake.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
846.1,ᎦᏯᏢᎢ,846,ᎦᏯᏢᎢ,gahya’dlv’i,ga-ya-tlv-i,gahyạ́’dlv̋’i,ga:hyá’dlv̋:’i,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,collar,,,,,,,,,,,,,,,,,,,collar,,,,gaya’dlv’i,,,,,,,,0846.1.m4a,Sentence_for_entry_0846.m4a,ᎠᎿᏬ *ᎦᏯᏢ* ᎾᏛᎾᏕᏍᏓ.,ahnawó *ga:hyá’dlv̋:* nà:dv́nhdé:sda,The *collar* on the shirt just came off.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
846.2,ᏕᎦᏯᏢᎢ,846,ᏕᎦᏯᏢᎢ,degahya’dlv’i,de-ga-ya-tlv-i,degáhyạ́’dlv̋’i,de:gá:hyá’dlv̋:’i,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,plural,,collars,,,,,,,,,,,,,,,,,,,collar,,,,degaya’dlv’i,,,,,,,,,Sentence_for_entry_0846.m4a,ᎠᎿᏬ *ᎦᏯᏢ* ᎾᏛᎾᏕᏍᏓ.,ahnawó *ga:hyá’dlv̋:* nà:dv́nhdé:sda,The *collar* on the shirt just came off.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
847.1,ᎦᏯᎱᎶ,847,ᎦᏯᎱᎶ,gahyahulo,ga-ya-hu-lo,gahyạhulo,ga:hyahu:lo,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,saddle,,,,,,,,,,,,,,,,,,,saddle,,,,gayahulo,,,,,,,,Word_0847.1.m4a,Sentence_for_entry_0847.m4a,ᎤᏬᏚᏨ *ᎦᎯᏳᎶ* ᎤᏬᏢᏅᎢ.,uwo:du:jv̋: *ga:hiyu:ló:* ù:wo:hlv:hnv̌:’i,He made an extremely beautiful *saddle.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
847.2,ᏗᎦᏯᎱᎶ,847,ᏗᎦᏯᎱᎶ,digahyahulo,di-ga-ya-hu-lo,dịgahyạhulo,diga:hyahu:lo,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,plural,,saddles,,,,,,,,,,,,,,,,,,,saddle,,,,digayahulo,,,,,,,,,Sentence_for_entry_0847.m4a,ᎤᏬᏚᏨ *ᎦᎯᏳᎶ* ᎤᏬᏢᏅᎢ.,uwo:du:jv̋: *ga:hiyu:ló:* ù:wo:hlv:hnv̌:’i,He made an extremely beautiful *saddle.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
848.1,ᎦᏰᎠ,848,ᎦᏰᎠ,gahye’a,ga-ye-a,gahyé’a,ga:hyé:’a,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular,,he/she is eating it,,,,,,,,refers to a flexible object,,,,,,,,,,,eat,,,,gaye’a,,,,,,,,,Sentence_for_entry_0848.m4a,ᎦᏙ ᎤᏍᏗ *ᎦᏰᎠ* ᏥᏍᏚ?,gado u:sdi *à:gí’a* ji:sdû,What is the rabbit *eating?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
848.2,ᏥᏯᏰᎠ,848,ᏥᏯᏰᎠ,jiyaye’a,tsi-ya-ye-a,jiyàyé’a,ji:yà:yé:’a,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,1st person singular with animate object,,I’m eating it,,,,,,,,refers to a flexible object that’s been killed,,,,,,,,,,,eat,,,,tsiyaye’a,,,,,,,,,Sentence_for_entry_0848.m4a,ᎦᏙ ᎤᏍᏗ *ᎦᏰᎠ* ᏥᏍᏚ?,gado u:sdi *à:gí’a* ji:sdû,What is the rabbit *eating?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
848.3,ᏥᏰᎠ,848,ᏥᏰᎠ,jiye’a,tsi-ye-a,jìyé’a,jì:yé:’a,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,1st person singular with inanimate object,,he/she is eating it,,,,,,,,refers to a flexible object,,,,,,,,,,,eat,,,,tsiye’a,,,,,,,,,Sentence_for_entry_0848.m4a,ᎦᏙ ᎤᏍᏗ *ᎦᏰᎠ* ᏥᏍᏚ?,gado u:sdi *à:gí’a* ji:sdû,What is the rabbit *eating?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
848.4,ᎤᏩᏯᎥᎢ,848,ᎤᏩᏯᎥᎢ,uwahya’v’i,u-wa-ya-v-i,ùwahyá’v̌’i,ù:wa:hyá:’v̌:’i,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular non-progressive remote past tense,,he/she ate it,,,,,,,,refers to a flexible object,,,,,,,,,,,eat,,,,uwaya’v’i,,,,,,,,,Sentence_for_entry_0848.m4a,ᎦᏙ ᎤᏍᏗ *ᎦᏰᎠ* ᏥᏍᏚ?,gado u:sdi *à:gí’a* ji:sdû,What is the rabbit *eating?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED
