Index,Verb Number,Set,,Tense,Tense?,Subject,Object,Verb,Dupes,Cherokee,English,Syllabary,Stem,Stem Number,Is_Dupe,CED Entry,CED English,CED Sentence (Cherokee),CED Sentence (Syllabary),CED Sentence (English),CED Index,CED Link,Full Line,Tags,Notes
1893,20,A,AC,Present Tense,,Third Singular,First Plural Inclusive,To See,,igigowtiha,"He/she sees another, or others, me and you",ᎢᎩᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,"“He/she sees another, or others, me and you” igigowtiha ᎢᎩᎪᏩᏘᎭ",PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1894,20,A,AC,Present Tense,,Third Singular,First Plural Exclusive,To See,,ogigowtiha,He/she sees others and me,ᎣᎩᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees others and me” ogigowtiha ᎣᎩᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1895,20,A,AC,Present Tense,,Third Singular,Second Dual,To See,He/she sees you two@You two see it,sdigowtiha,He/she sees you two,ᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees you two” sdigowtiha ᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1896,20,A,AC,Present Tense,,Third Singular,Second Plural,To See,He/she sees you (more than two)@You (more than two) see it,itsigowtiha,He/she sees you (more than two),ᎢᏥᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees you (more than two)” itsigowtiha ᎢᏥᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1897,20,A,AC,Present Tense,,Third Singular,Third Plural (animate),To See,He/she sees them@He/she sees those things,dagowtiha,He/she sees them,ᏓᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees them” dagowtiha ᏓᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1898,20,A,AC,Present Tense,,Third Singular,Third Plural (inanimate),To See,He/she sees them@He/she sees those things,dagowtiha,He/she sees those things,ᏓᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees those things” dagowtiha ᏓᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1899,20,A,AC,Present Tense,,Second Dual,First Singular,To See,You (singular) see someone else and me@You two see me@You two see someone else and me,sginigowtiha,You two see me,ᏍᎩᏂᎪᏩᏘᎭ,-gowtih-a,I,3,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You two see me” sginigowtiha ᏍᎩᏂᎪᏩᏘᎭ,PresentTense transitive P_2d VERB_C::agowhtiha VERB_E::To_See,
1900,20,A,AC,Present Tense,,Second Dual,Third Singular (animate),To See,,esdigowtiha,You two see him/her,ᎡᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You two see him/her” esdigowtiha ᎡᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_2d VERB_C::agowhtiha VERB_E::To_See,
1901,20,A,AC,Present Tense,,Second Dual,Third Singular (inanimate),To See,He/she sees you two@You two see it,sdigowtiha,You two see it,ᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You two see it” sdigowtiha ᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_2d VERB_C::agowhtiha VERB_E::To_See,
1902,20,A,AC,Present Tense,,Second Dual,First Dual Exclusive,To See,You (singular) see someone else and me@You two see me@You two see someone else and me,sginigowtiha,You two see someone else and me,ᏍᎩᏂᎪᏩᏘᎭ,-gowtih-a,I,3,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You two see someone else and me” sginigowtiha ᏍᎩᏂᎪᏩᏘᎭ,PresentTense transitive P_2d VERB_C::agowhtiha VERB_E::To_See,
1903,20,A,AC,Present Tense,,Second Dual,First Plural Exclusive,To See,You (singular) see others and me@You two see others and me@You (more than two) see me@You (more than two) see someone else and me,isgigowtiha,You two see others and me,ᎢᏍᎩᎪᏩᏘᎭ,-gowtih-a,I,4,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You two see others and me” isgigowtiha ᎢᏍᎩᎪᏩᏘᎭ,PresentTense transitive P_2d VERB_C::agowhtiha VERB_E::To_See,
1904,20,A,AC,Present Tense,,Second Dual,Third Plural (animate),To See,You two see them@They see you two,gesdigowtiha,You two see them,ᎨᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You two see them” gesdigowtiha ᎨᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_2d VERB_C::agowhtiha VERB_E::To_See,
1905,20,A,AC,Present Tense,,Second Dual,Third Plural (inanimate),To See,,desdigowtiha,You two see those things,ᏕᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You two see those things” desdigowtiha ᏕᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_2d VERB_C::agowhtiha VERB_E::To_See,
1906,20,A,AC,Present Tense,,Second Plural,First Singular,To See,You (singular) see others and me@You two see others and me@You (more than two) see me@You (more than two) see someone else and me,isgigowtiha,You (more than two) see me,ᎢᏍᎩᎪᏩᏘᎭ,-gowtih-a,I,4,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (more than two) see me” isgigowtiha ᎢᏍᎩᎪᏩᏘᎭ,PresentTense transitive P_2p VERB_C::agowhtiha VERB_E::To_See,
1907,20,A,AC,Present Tense,,Second Plural,Third Singular (animate),To See,,etsigowtiha,You (more than two) see him/her,ᎡᏥᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (more than two) see him/her” etsigowtiha ᎡᏥᎪᏩᏘᎭ,PresentTense transitive P_2p VERB_C::agowhtiha VERB_E::To_See,
1908,20,A,AC,Present Tense,,Second Plural,Third Singular (inanimate),To See,He/she sees you (more than two)@You (more than two) see it,itsigowtiha,You (more than two) see it,ᎢᏥᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (more than two) see it” itsigowtiha ᎢᏥᎪᏩᏘᎭ,PresentTense transitive P_2p VERB_C::agowhtiha VERB_E::To_See,
1909,20,A,AC,Present Tense,,Second Plural,First Dual Exclusive,To See,You (singular) see others and me@You two see others and me@You (more than two) see me@You (more than two) see someone else and me,isgigowtiha,You (more than two) see someone else and me,ᎢᏍᎩᎪᏩᏘᎭ,-gowtih-a,I,4,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (more than two) see someone else and me” isgigowtiha ᎢᏍᎩᎪᏩᏘᎭ,PresentTense transitive P_2p VERB_C::agowhtiha VERB_E::To_See,
1910,20,A,AC,Present Tense,,Second Plural,Third Plural (animate),To See,You (more than two) see them@They see you (more than two),getsigowtiha,You (more than two) see them,ᎨᏥᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (more than two) see them” getsigowtiha ᎨᏥᎪᏩᏘᎭ,PresentTense transitive P_2p VERB_C::agowhtiha VERB_E::To_See,
1911,20,A,AC,Present Tense,,Second Plural,Third Plural (inanimate),To See,I see those things@You (more than two) see those things,detsigowtiha,You (more than two) see those things,ᏕᏥᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (more than two) see those things” detsigowtiha ᏕᏥᎪᏩᏘᎭ,PresentTense transitive P_2p VERB_C::agowhtiha VERB_E::To_See,
1912,20,A,AC,Present Tense,,First Dual Inclusive,Third Singular (animate),To See,,enigowtiha,We (you and I) see him/her,ᎡᏂᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (you and I) see him/her” enigowtiha ᎡᏂᎪᏩᏘᎭ,PresentTense transitive P_1d-in VERB_C::agowhtiha VERB_E::To_See,
1913,20,A,AC,Present Tense,,First Dual Inclusive,Third Singular (inanimate),To See,,inigowtiha,We (you and I) see it,ᎢᏂᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (you and I) see it” inigowtiha ᎢᏂᎪᏩᏘᎭ,PresentTense transitive P_1d-in VERB_C::agowhtiha VERB_E::To_See,
1914,20,A,AC,Present Tense,,First Dual Inclusive,Third Plural (animate),To See,,genigowtiha,We (you and I) see them,ᎨᏂᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (you and I) see them” genigowtiha ᎨᏂᎪᏩᏘᎭ,PresentTense transitive P_1d-in VERB_C::agowhtiha VERB_E::To_See,
1915,20,A,AC,Present Tense,,First Dual Inclusive,Third Plural (inanimate),To See,,denigowtiha,We (you and I) see those things,ᏕᏂᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (you and I) see those things” denigowtiha ᏕᏂᎪᏩᏘᎭ,PresentTense transitive P_1d-in VERB_C::agowhtiha VERB_E::To_See,
1916,20,A,AC,Present Tense,,First Dual Exclusive,Second Singular,To See,I see you (two)@We (another and I) see you (singular),sdvgowtiha,We (another and I) see you (singular),ᏍᏛᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (another and I) see you (singular)” sdvgowtiha ᏍᏛᎪᏩᏘᎭ,PresentTense transitive P_1d-ex VERB_C::agowhtiha VERB_E::To_See,
1917,20,A,AC,Present Tense,,First Dual Exclusive,Third Singular (animate),To See,We (another and I) see him/her@We (another and I) see it,osdigowtiha,We (another and I) see him/her,ᎣᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (another and I) see him/her” osdigowtiha ᎣᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_1d-ex VERB_C::agowhtiha VERB_E::To_See,
1918,20,A,AC,Present Tense,,First Dual Exclusive,Third Singular (inanimate),To See,We (another and I) see him/her@We (another and I) see it,osdigowtiha,We (another and I) see it,ᎣᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (another and I) see it” osdigowtiha ᎣᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_1d-ex VERB_C::agowhtiha VERB_E::To_See,
1919,20,A,AC,Present Tense,,First Dual Exclusive,Second Dual,To See,We (another and I) see you two@We (others and I) see them,gotsigowtiha,We (another and I) see you two,ᎪᏥᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (another and I) see you two” gotsigowtiha ᎪᏥᎪᏩᏘᎭ,PresentTense transitive P_1d-ex VERB_C::agowhtiha VERB_E::To_See,
1920,20,A,AC,Present Tense,,First Dual Exclusive,Second Plural,To See,I see you (more than two)@We (another and I) see you (more than two)@We (others and I) see you (singular),itsvgowtiha,We (another and I) see you (more than two),ᎢᏨᎪᏩᏘᎭ,-gowtih-a,I,3,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (another and I) see you (more than two)” itsvgowtiha ᎢᏨᎪᏩᏘᎭ,PresentTense transitive P_1d-ex VERB_C::agowhtiha VERB_E::To_See,
1921,20,A,AC,Present Tense,,First Dual Exclusive,Third Plural (animate),To See,,gosdigowtiha,We (another and I) see them,ᎪᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (another and I) see them” gosdigowtiha ᎪᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_1d-ex VERB_C::agowhtiha VERB_E::To_See,
1922,20,A,AC,Present Tense,,First Dual Exclusive,Third Plural (inanimate),To See,,dosdigowtiha,We (another and I) see those things,ᏙᏍᏗᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (another and I) see those things” dosdigowtiha ᏙᏍᏗᎪᏩᏘᎭ,PresentTense transitive P_1d-ex VERB_C::agowhtiha VERB_E::To_See,
1923,20,A,AC,Present Tense,,First Plural Exclusive,Second Singular,To See,I see you (more than two)@We (another and I) see you (more than two)@We (others and I) see you (singular),itsvgowtiha,We (others and I) see you (singular),ᎢᏨᎪᏩᏘᎭ,-gowtih-a,I,3,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“We (others and I) see you (singular)” itsvgowtiha ᎢᏨᎪᏩᏘᎭ,PresentTense transitive P_1p-ex VERB_C::agowhtiha VERB_E::To_See,
