sentence_id,base_form_id,word_index,source,source file,gloss_syllabary,gloss_phonetic,gloss_english
803344911a07,2f77260c50b17136,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏍᎪᎯ,sgǒ:hi,ten
a003e9f5637a,e6ede6d390c9d1e2,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏆᏏᏛᏂᎦ.,à:gwà:hwsihtv̌:nî:ga,He slapped me
ab425c6fd382,24c563edf97378be,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎫᎫ?,gù:gű,Bartlesville?
250f60512820,517a242914f3f081,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᎸᏛᏂᏍᏔᏅ,dù:lv:dv:nî:stanv́,He slammed
f1f4ba1e8ee5,ae2404cc9a2cbb21,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏧᎦᏒᏍᏗ,jù:ksv̋:sdi,smoky
0f48d80fe17b,8c708836b687300b,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏒᎦᏔ,sv̌:kta,apples
a985e8ab8ca6,898e998f9c126b86,3,rrd,lily-dict.csv,ᎢᏳᏉ,,the time of
4b2941652ed0,5ba7c430040beb90,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᎵᏉᎩᏁ,galhgwo:gǐ:ne̋:,seventh.
fed4dbc84835,ece2640542950a9e,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏂ,gá'ni,bullet
3ff2288dac5a,7dcfe2f6c947a43b,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏩᏘᏗ,uwà:tdi̋,to bake
1128aa4b27bf,ef8a0c0dfaffcb45,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏥᏌ?,jǐ:sa,Jesus?
dda5f675b1b9,30d0aac19fd84b39,2,rrd,lily-dict.csv,ᏥᏯᎵᎡᎵᏤᎭ,,I thank
4c4f3934ff5a,a414bde403a6f06b,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏓᏆᏍᎦᎴᏍᏔᏅᎢ.,dà:gwá:sgalé:stanv̌:'i,it slipped out of my hand.
e1eab2cc26bf,082dcf25e079f74f,4,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎦᏴᎵᎨ~,agayv̌:líge̋:'i,old woman
2c1742bc9d43,0c58120d957ae280,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏁᎵᏙᏗ,di:ne̋:hldohdi,toy
6d6bccda536d,38c234fa0e23809a,1,rrd,lily-dict.csv,ᎤᏲᎸᎩ,,bearing
16e2d2d8c98d,b4928bf391a7e5e8,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏁᎯ,ane̋:hi,from?
f2b5d8b48a44,04c790ae25cb75a2,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏧᎳᏏᏕᏂ,ju:là:sihde̋:ni,His feet
bbd1cd0672cd,149360b464fff4a3,3,rrd,lily-dict.csv,ᏓᏍᏗᎩᎠ,,He is eating
