merged_id,kirk-book-data.csv_CED (Cherokee),kirk-book-data.csv_CED (English),kirk-book-data.csv_CED Index,kirk-book-data.csv_CED Link,kirk-book-data.csv_Cherokee,kirk-book-data.csv_English,kirk-book-data.csv_Index,kirk-book-data.csv_Kirk Verb (Cherokee),kirk-book-data.csv_Kirk Verb (English),kirk-book-data.csv_Object,kirk-book-data.csv_Person,kirk-book-data.csv_Same CED,kirk-book-data.csv_Tense,kirk-book-data.csv_Tone,kirk-book-data.csv_Verb Number,kirk-book-data.csv__Kirk_Object,kirk-book-data.csv_normalized_key,kirk-book-data.csv_screenshot name,kirk-book-data.csv_source_Verb Number,learning-to-use-the-cherokee-verb.csv_CED English,learning-to-use-the-cherokee-verb.csv_CED Entry,learning-to-use-the-cherokee-verb.csv_CED Index,learning-to-use-the-cherokee-verb.csv_CED Link,learning-to-use-the-cherokee-verb.csv_Cherokee,learning-to-use-the-cherokee-verb.csv_English,learning-to-use-the-cherokee-verb.csv_Full Tense,learning-to-use-the-cherokee-verb.csv_Index,learning-to-use-the-cherokee-verb.csv_Object,learning-to-use-the-cherokee-verb.csv_Set,learning-to-use-the-cherokee-verb.csv_Stem,learning-to-use-the-cherokee-verb.csv_Stem Number,learning-to-use-the-cherokee-verb.csv_Syllabary,learning-to-use-the-cherokee-verb.csv_Verb,learning-to-use-the-cherokee-verb.csv_Verb Number,learning-to-use-the-cherokee-verb.csv_normalized_key,learning-to-use-the-cherokee-verb.csv_source_Verb Number,lily-dict.csv_CED_Line,lily-dict.csv_Category,lily-dict.csv_Cross_Reference,lily-dict.csv_Culturev_Entry,lily-dict.csv_Culturev_Line,lily-dict.csv_Culturev_Link,lily-dict.csv_Definition,lily-dict.csv_Definition_Long,lily-dict.csv_Entry,lily-dict.csv_Entry_Tone,lily-dict.csv_Etymology,lily-dict.csv_Index,lily-dict.csv_MDS_syllabary_source,lily-dict.csv_Part_of_Speech,lily-dict.csv_Plural,lily-dict.csv_Plural_Syllabary,lily-dict.csv_Plural_Tone,lily-dict.csv_PoS,lily-dict.csv_Source,lily-dict.csv_Source_Long,lily-dict.csv_Syllabary,lily-dict.csv_Verb_Root,lily-dict.csv_Verb_Set,lily-dict.csv__PoS_Lily
a1c80a77d4a06686,,,,,ahladi'a,She is placing it %(long)% on something,8667,Ahladi'a,Place on Something (long),3s,Third Person Singular,,Present Tense,,381,3s,3s|3s|present,_placeOnSomething_long.PNG,381_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce23a57684299380,,,,,ahlvsga,She is placing it %(flexible)% on something,8687,Ahlvsga,Place on Something(flexible),3s,Third Person Singular,,Present Tense,,382,3s,3s|3s|present,_placeOnSomething_flexible.PNG,382_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c80ee43214ccf322,aditasga,he's drinking it,285,https://cherokeedictionary.net/share/72267,aditasga,She is eating something %(liquid)%;She is drinking something %(liquid)%,8773,Aditasga,Eating/Drink It (liquid),3s,Third Person Singular,X,Present Tense,a¹di²ta.³sga,386,3s,3s|3s|present,_eat_liquid.PNG,386_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a59f6fec450dd2e,,,,,atihnega,She is taking it somewhere %(alive)%,8793,Atihnega,Take Somewhere (living),3a,Third Person Singular,,Present Tense,,387,3a,3s|3a|present,_takeSomewhere_living.PNG,387_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419efda7580ee607,gahnidoha,he's handling a flexible object,1034,https://cherokeedictionary.net/share/73036,gahnidoha,She is handling something %(flexible)%;She is carrying something %(flexible)%,8953,Gahnidoha,Handle/Carry (flexible),3s,Third Person Singular,X,Present Tense,ga.²hni²³do³²ha,395,3s,3s|3s|present,_handleCarry_flexible.PNG,395_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbf2770a1d33d484,,,,,aya'vsga,She is putting it in a container %(alive)%,9093,Aya'vsga,Put in Container (living),3a,Third Person Singular,,Present Tense,,402,3a,3s|3a|present,_putInContainer_living.PNG,402_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d5644b02f260e2,,,,,gakahv'a,She is moving something %(alive)%,9193,Gakahv'a,Move (living),3a,Third Person Singular,,Present Tense,,407,3a,3s|3a|present,_move_living.PNG,407_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77cb6ee6f91d2701,,,,,adisiyv'a,She is moving something %(long)%,9233,Adisiyv'a,Move (long),3s,Third Person Singular,,Present Tense,,409,3s,3s|3s|present,_move_long.PNG,409_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b02451a6e80eaac,,,,,ga'nv'a,She is moving something %(flexible)%,9253,Ga'nv'a,Move (flexible),3s,Third Person Singular,,Present Tense,,410,3s,3s|3s|present,_move_flexible.PNG,410_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d55d6c8d9c41a8d9,,,,,ganehiyv'a,She is moving something %(liquid)%,9273,Ganehiyv'a,Move (liquid),3s,Third Person Singular,,Present Tense,,411,3s,3s|3s|present,_move_liquid.PNG,411_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3cfce262dffadc6,,,,,ganv'vsga,She is setting it down %(alive)%,9293,Ganv'vsga,Set Down (living),3a,Third Person Singular,,Present Tense,,412,3a,3s|3a|present,_setDown_living.PNG,412_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc75f0ebb0cb281f,,,,,ganv'vsga,She is setting it down %(flexible)%,9353,Ganv'vsga,Set Down (flexible),,Third Person Singular,,Present Tense,,415,3s,3s|3s|present,_setDown_flexible.PNG,415_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d4e7a86ea014ac,,,,,ganehvsga,She is setting it down %(liquid)%,9373,Ganehvsga,Set Down (liquid),,Third Person Singular,,Present Tense,,416,3s,3s|3s|present,_setDown_liquid.PNG,416_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c94857325665483,,,,,gadv'vsga,She is hanging it up %(alive)%,9393,Gadv'vsga,Hang Up (living),3a,Third Person Singular,,Present Tense,,417,3a,3s|3a|present,_hangUp_living.PNG,417_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455c582203976ef,uhnuwa,"he's wearing a shirt, coat",1791,https://cherokeedictionary.net/share/73821,duhnuwa,She is wearing clothes,9471,duhnuwa,Wearing Clothes,,Third Person Singular,X,Present Tense,u¹hnu³²wa,421,3s,3s|3s|present,_wearingClothes.PNG,421_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5641bb4e3f11bdc4,,,,,,,,,,,,,,,,,,,,,,,,galvkwdiha,He/she is honoring it,3s Present 3s (inanimate),1274,Third Singular (inanimate),A,-lvgwodih-a / -lvkwdih-a,I,ᎦᎸᏉᏗᎭ,To Honor Someone or Something,13,3s|none|present,13,,,,,,,,,,,,,,,,,,,,,,,,
0f32d74e2bbbde74,,,,,,,,,,,,,,,,,,,,,,,,kanohiseha,S/he is telling it,3s Present 3s (inanimate),2158,Third Singular (inanimate),A,-nohiseh-a,I,ᎧᏃᎯᏎᎭ,To Tell something to someone*,23,3s|none|present,23,,,,,,,,,,,,,,,,,,,,,,,,
