sentence_id,syllabary,phonetic,english,sentence_notes,sources
a2cd92e71f20,ᎤᏔᎾ * ᎠᏓᎨᏗ * ᏄᏩᏅᏗ ᏗᏎᎯᏍᏗᎢ.,ű:tana * ada:kéhdi̋* nù:wá:nhdi di:sě:hísdi̋:'i,She has a big *mirror* on the dresser.,,cn-app-dictionary.csv
29d435fd068a,ᎤᎾᎳᏍᎦᎵᏗ ᏳᏟᎢᎶᏝ * ᎠᏓᎴᏂᏍᎪ * ᎠᎾᎳᏍᎦᎵᏍᎬᎢ.,u:nalà:sgalhdi̋: yu:hlî:lő:hla * à:dale:ni:sgó * à:nalâ:sgalǐ:sgv̋:'i,When it's time for them to play ball‚ the ball game *begins.*,,cn-app-dictionary.csv
5f20f59ee93f,ᏥᏈᏍᏓ * ᎤᏓᎾᏁᏒᎲᏍᏗ * ᎤᏚᎵ ᎠᏎᏃ ᏥᏈᏍᏗ ᏓᎬᏩᎵᏗᏓᎾ.,tsgwi̋:sda * u:da:nanè:svhv́sdi̋* ù:du:lí a:sé:hnó tsgwǐ:sdi dà:gv:walhdǐ:dá'na,She wants *to do* a lot of *shopping*‚ but the prices are too high.,,cn-app-dictionary.csv
bcc10607bec5,* ᎠᏓᎾᏅ * ᏓᎩᎸᏫᏍᏓᏁᎰ ᎪᎩ ᏱᏄᎵᏍᏔᎾ.,* à:da:nánv̋:* dà:gilv:hwísdà:ne:hó go:gí yinű:lstana,I work in a *store* in the summer.,,cn-app-dictionary.csv
c4f208a485ba,ᎩᏟ ᏓᏑᏫᏍᎬ ᎤᏛᎦᎾ‚ * ᎤᏓᎾᏫᏍᏔᏅᎢ.*,gihli dà:suhwisgv̋: ù:tv̋:gà:na * ù:danâ:wstanv̌:'i *,When he heard the dog bark‚ *he ran.*,,cn-app-dictionary.csv
e51865c0cf2e,ᏚᏯᏪᏣ ᎠᏴᎩ ᎠᎦᏘᏴ‚ ᎤᎾᎵᎢ * ᎤᏓᏁᏟᏴᏍᏔᏅᎢ.*,dù:yawe̋:ja ahyv̋:ki à:kti:yv̋: u:na:li̋:'i * ù:daně:dlí:yv̀:stanv̌:'i *,When he got tired of guarding the prisoner‚ his friend *took his place.*,,cn-app-dictionary.csv
bff1f80467fd,* ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ * ᏓᎾᏘᏁᎰ ᎠᎾᎳᏍᎦᎵᏍᎩ.,* anadaně:dlí:yv̀:sdi̋:sgi * dà:nhtihne:hó: analà:sgali̋:sgi,The ball players always have *substitutes.*,,cn-app-dictionary.csv
652b9c798f88,ᎠᎵᏍᏓᏴᏗ * ᎠᏓᏁᏢ * ᏚᏁᎸ ᏧᏂᏲᏏᏍᎩ.,álsdà:yhdi * à:da:né:hlv̋:* dù:hně:lv́ ju:ni:yò:si̋:sgi,He gave a *supply* of food to the hungry.,,cn-app-dictionary.csv
ae303941ca0f,ᎤᏃᎴ ᎤᏲᏍᏔᏃᏅ * ᎠᏓᏁᎸᎢ.*,u:no:lé ù:yó:stanohnv́ * à:da:ně:lv̋:'i *,A tornado destroyed a *building.*,,cn-app-dictionary.csv
1cfb5151919b,* ᎠᏓᏅᏙ * ᏳᎴᏫᏍᏔᎾ ᎠᏲᎱᏍᎪ ᏴᏫ.,* ada:nhdo * yu:le̋:hwistana à:yo:hu:sgó yv:wi,When the *heart* stops‚ a person dies.,,cn-app-dictionary.csv
