Index,Source,Source_Long,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Definition_Long,Cross_Reference,Plural,Plural_Syllabary,Verb_1st_Present,Verb_1st_Present_Syllabary,Verb_3rd_Past,Verb_3rd_Past_Syllabary,Verb_3rd_Present_Habitual,Verb_3rd_Present_Habitual_Syllabary,Verb_2nd_Imperative,Verb_2nd_Imperative_Syllabary,Verb_3rd_Infinitive,Verb_3rd_Infinitive_Syllabary,Entry_Tone,Plural_Tone,Verb_1st_Present_Tone,Verb_3rd_Past_Tone,Verb_3rd_Present_Habitual_Tone,Verb_2nd_Imperative_Tone,Verb_3rd_Infinitive_Tone,Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",ditlasdegi sdequo,ᏗᏝᏍᏕᎩ ᏍᏕᏉ,n,noun,noun,Gerardia pedicularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","doyiwoyi, ditlasdegi isdequo","ᏙᏱᏬᏱ, ᏗᏝᏍᏕᎩ ᎢᏍᏕᏉ",n,noun,noun,Gerardia flava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","dusuga tsunvstiya, dusu tsunvsdi, dusu ugo","ᏚᏑᎦ ᏧᏅᏍᏘᏯ, ᏚᏑ ᏧᏅᏍᏗ, ᏚᏑ ᎤᎪ",n,noun,noun,Kalmia latifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","dusuga tsunvtana, dusu tsunvtana","ᏚᏑᎦ ᏧᏅᏔᎾ, ᏚᏑ ᏧᏅᏔᎾ",n,noun,noun,Rhododendron maximum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","duya iyusdi, unagaladelo tsusdi","ᏚᏯ ᎢᏳᏍᏗ, ᎤᎾᎦᎳᏕᎶ ᏧᏍᏗ",n,noun,noun,Clitoria mariana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",duya yusdi,ᏚᏯ ᏳᏍᏗ,n,noun,noun,Amphicarpa bracteata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","elisgala, eliskala","ᎡᎵᏍᎦᎳ, ᎡᎵᏍᎧᎳ",n,noun,noun,New Jersey tea.; Ceanothus americanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","euso, ewasuhi","ᎡᎤᏐ, ᎡᏩᏑᎯ",n,noun,noun,Leucothoe editorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","gadatsuli gadusa ehi, goligaisgi","ᎦᏓᏧᎵ ᎦᏚᏌ ᎡᎯ, ᎪᎵᎦᎢᏍᎩ",n,noun,noun,Eupatorium perfoliatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gadatsusli,ᎦᏓᏧᏍᎵ,n,noun,noun,Phlox maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gadoyidi ustiga,ᎦᏙᏱᏗ ᎤᏍᏘᎦ,n,noun,noun,Polymnia uvedalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","galuna, galuhna","ᎦᎷᎾ, ᎦᎷᎿ",n,noun,noun,Cucurbita pepo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",ganagida,ᎦᎾᎩᏓ,n,noun,noun,Cassia fasciculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","ganaquatlisgi, ganiquatlisgi, nigoidoitsei","ᎦᎾᏆᏟᏍᎩ, ᎦᏂᏆᏟᏍᎩ, ᏂᎪᎢᏙᎢᏤᎢ",n,noun,noun,Veronica officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","ganelida, ganeleda","ᎦᏁᎵᏓ, ᎦᏁᎴᏓ",n,noun,noun,Angelica venenosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",ganelido,ᎦᏁᎵᏙ,n,noun,noun,Zizia aurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
