sentence_id,syllabary,phonetic,english,error_type,source,base_form_id,base_word_syllabary,base_word_phonetic,base_word_english
582fde277875,"ᏉᎳ ᎠᏂᏈᎷ ᏧᏬᏪᎳᏁᎸᎯ  6:19, ᎾᏍᎩ ᎤᏚᎩ ᎬᏗ ᎨᏒ ᎾᏍᎩᏯ ᎠᏓᏅᏙ * ᎦᎾᎯᏍᏙᏗ * ᏥᎩ",Quola aniquilu tsuwohwelanelvhi 6:19  Nasgi udugi gvhdi nasgiya adanvdo * ganahisdohdi * tsigi,Which hope we have as an *anchor* of the soul...,word_count_mismatch,lily-dict.csv,645a1030f1a65302,ᎦᎾᎯᏍᏙᏗ,ganahisdohdi,anchor
66ab3b982f15,ᏏᏊ * ᏐᎢ * ᏥᏍᎬᏏ.,* si:gwú * ső'i jiskv́si,Give me *another one.*,asterisk_mismatch,cn-app-dictionary.csv,9e8187840cda9f22,ᏐᎢ,so'i,
bcaa82cfbb16,ᏧᎾᏍᏗ ᎠᏂᎨᏳᏣ * ᏗᏁᏟᏗ * ᏓᎾᏁᏟᏗᏍᎪᎢ.,ju:nsdi̋: ani:gě:hű:ja * di:né:hldi dà * ná:ne:lhdi:sgó:'i,Little girls play with *dolls.*,word_count_mismatch,cn-app-dictionary.csv,3b2f00e433597efd,ᎠᏁᏟᏗ,anehldi,
9581b0280e4b,ᏩᎦ ᏱᏚᎪᎭ * ᏓᎨᎮᎪᎢ *.,wahga yidú:gő:ha * dà:ke:hê:gó:'i *,When the dog sees cows‚ *he chases them*.,word_count_mismatch,cn-app-dictionary.csv,6a0d24d288fa5d43,ᎠᎨᎮᎦ,akehega,
2fcfcb2a485d,ᎫᎴ ᏓᏂᎩᏍᎪᎢ ᏌᎶᎵ.,* gu:lé * dà:ni:gî:sgó:'i salǒ:li,*Squirrels* eat acorns.,asterisk_mismatch,cn-app-dictionary.csv,9d30d2c10e0bc3a9,ᎫᎴ,gule,
a5a93ae8e94c,ᏫᏓᏂᏰᎵᏍᎬᎢ * ᎢᎪᎯᏓ * ᏩᏇᏙᎸᎢ.,widaní:yelì:sgv̋:'* i igó:hi̋:da * wà:gwě:dô:lv̌:'i,I stayed there until they *adjourned.*,word_count_mismatch,cn-app-dictionary.csv,d31eab818f8ab51e,ᎢᎪᎯᏓ,igohida,
f69f98835530,* ᎠᏂᏍᏆᏂ * Ꭲ ᏓᎨᏏ ᎪᎩ ᎢᏴᎢ.,* ani:sgwǎ:ni̋:'i * dagé:si go:gi iyv̋:'i,I'm going to *Mexico* in the summer.,word_count_mismatch,cn-app-dictionary.csv,acb4d364a5f84a1a,ᎠᏂᏍᏆᏂᎢ,Anisgwani'i,
54c02fa16274,ᎯᎠ ᎭᏫᏯ ᎣᏍᏓ ᎠᎩᏍᏗ.,hi'a hawi:ya * ő:sda * ágì:sdi,This meat is *good* to eat.,asterisk_mismatch,cn-app-dictionary.csv,1e1fff6baa4a2466,ᎣᏍᏓ,osda,
777cbe1e274b,ᏱᏣᏚᎳᏍ * ᎠᏕᎳᏗᏗ * ᏗᏣᎸᏫᏍᏓᏁᏗ?,yijadu:lás * ade:lá * di:hdi̋:* dijalv:hwísdà:nhdi̋:'i,Would you like to work in a *bank?*,asterisk_error,cn-app-dictionary.csv,c5f93ecc1ab5f18f,ᎠᏕᎳᏗᏗᎢ,adeldiyhdi'i,
6c4802985e8c,ᏗᎦᏚᎲ ᏳᏪᎾ ᏧᏓᏅᎦᎸᏓ ᏓᎿᏬᏍᎪᎢ ᎣᏍᏓᏃ ᎠᎵᏍᏇᏚᏬ * ᎠᎵᏍᏇᏚᎲᏍᎪᎢ.*,diga:dú:hv̋: yuwe̋:na ju:danv:galv̋:da dà:hnawó:sgó:'i ő:sdahnó: * álsgwè:tuwó à:lsgwé:tuhvsgó:'i *,When he goes to town‚ *he puts on* clean clothes and *a* good *hat.*,asterisk_mismatch,cn-app-dictionary.csv,7091b866eeb295ea,ᎠᎵᏍᏇᏚᎲᏍᎦ,alsgwetuhvsga,
