base_id,sentence_id,source file,gloss_english,gloss_phonetic,gloss_syllabary,source
8e9c9785c69a6436,ea1f640ab218,cn-app-dictionary.csv,is crawling.,à:dansi:ni,ᎠᏓᎾᏏᏂ.,Cherokee Dictionary 1975 Durbin Feeling
5149e5a568ce0ed4,325a2c7b3a7a,cn-app-dictionary.csv,it twisted.,ù:danú:te:yô:lv̌:’i,ᎤᏓᏄᏖᏲᎸᎢ.,Cherokee Dictionary 1975 Durbin Feeling
2524951ef15668df,e4ff4d426719,cn-app-dictionary.csv,he,u:dá’nv̀:sdi̋:yi ,ᎤᏓᏅᏍᏗᎢ.,Cherokee Dictionary 1975 Durbin Feeling
2524951ef15668df,e4ff4d426719,cn-app-dictionary.csv,move.,,,Cherokee Dictionary 1975 Durbin Feeling
b0cefb0b2dba66b7,eaccbd0326fd,cn-app-dictionary.csv,He orders,à:danv:sgó:’i,ᎠᏓᏅᏍᎪᎢ.,Cherokee Dictionary 1975 Durbin Feeling
b0cefb0b2dba66b7,cf5cafadd118,cn-app-dictionary.csv,He orders,à:danv:sgó:’i,,Cherokee Dictionary 1975 Durbin Feeling
6c080091945371a7,ea345473e115,cn-app-dictionary.csv,kitchen,ada:sdà:yhdi̋,ᎠᏓᏍᏓᏴᏗ ,Cherokee Dictionary 1975 Durbin Feeling
d54bde296f329ee8,3b4141de7b55,cn-app-dictionary.csv,to cook‚,jada̋:sdà:yhdi,ᏣᏓᏍᏓᏴᏗ,Cherokee Dictionary 1975 Durbin Feeling
2245a077e719e51b,3c67452c1eab,cn-app-dictionary.csv,magicians.,ani:dá:we̋:hi,ᎠᏂᏓᏪᎯ,Cherokee Dictionary 1975 Durbin Feeling
17b81cf8cc64d0f1,2028dc45e9c6,cn-app-dictionary.csv,magical.,ani:dá:wé:hi,ᎠᏂᏓᏪᎯ,Cherokee Dictionary 1975 Durbin Feeling
50c3fa12efd8fdf6,ff5d8fafe3be,cn-app-dictionary.csv,burning.,à:dawě:lági’a,ᎠᏓᏪᎳᎩᎠ.,Cherokee Dictionary 1975 Durbin Feeling
22cdab7c28cbf3c0,4658038b9d2c,cn-app-dictionary.csv,flame,à:dawě:lágì,ᎠᏓᏪᎳᎩ,Cherokee Dictionary 1975 Durbin Feeling
53f21936c19d75dc,9f47ed9ce220,cn-app-dictionary.csv,gunpowder.,adawe:lagì:sgi,ᎠᏓᏪᎳᎩᏍᎩ,Cherokee Dictionary 1975 Durbin Feeling
01ca66ab102603c7,c149d7ebbf76,cn-app-dictionary.csv,Rest.,hadawè:so:lv̌:sda,ᎭᏓᏪᏐᎸᏍᏓ.,Cherokee Dictionary 1975 Durbin Feeling
5a8005ec54bf30d3,d2b62aef7491,cn-app-dictionary.csv,Adam,ǎ:dáwi ju,ᎠᏓᏫ,Cherokee Dictionary 1975 Durbin Feeling
5f224da8fd6445f9,0e4e49a69f29,cn-app-dictionary.csv,you,jadawò:sdi̋,ᏣᏓᏬᏍᏗ?,Cherokee Dictionary 1975 Durbin Feeling
5f224da8fd6445f9,0e4e49a69f29,cn-app-dictionary.csv,swim?,,,Cherokee Dictionary 1975 Durbin Feeling
1a8ee04f79e546c6,fc8f55270f83,cn-app-dictionary.csv,swimming pool.,adawò:sdi̋,ᎠᏓᏬᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
b3235050b6bb0de2,934460cbe5c8,cn-app-dictionary.csv,television?,adayv̋:latvsgi,ᎠᏓᏴᎳᏛᏍᎩ?,Cherokee Dictionary 1975 Durbin Feeling
a20186fec2424374,cd89d1b564f2,cn-app-dictionary.csv,He gave,ù:dé:lv́,ᎤᏕᎸ,Cherokee Dictionary 1975 Durbin Feeling
fe4f1cd22409d661,993105511e12,cn-app-dictionary.csv,to learn,ade:hlohgwà:sdi̋,ᎠᏕᏠᏆᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
e8928935973848e7,9ca16eff64b2,cn-app-dictionary.csv,to embarrass,u:de:hǒ:hísdohdi̋,ᎤᏕᎰᎯᏍᏙᏗ,Cherokee Dictionary 1975 Durbin Feeling
87e90047c884943c,8471bcc02ce2,cn-app-dictionary.csv,he got embarrassed.,ù:de:hǒ:sv́:’i,ᎤᏕᎰᏒᎢ.,Cherokee Dictionary 1975 Durbin Feeling
e55f1a6b01c7d92b,8ba618b82519,cn-app-dictionary.csv,He was born,ù:de:hnv̌:’i,ᎤᏕᏅᎢ.,Cherokee Dictionary 1975 Durbin Feeling
f5e756b4fdfd35dd,3c95afd86cf4,cn-app-dictionary.csv,money,adě:la,ᎠᏕᎳ,Cherokee Dictionary 1975 Durbin Feeling
c5f93ecc1ab5f18f,d7cf73abe76f,cn-app-dictionary.csv,bank?,ade:lá,ᎠᏕᎳᏗᏗ,Cherokee Dictionary 1975 Durbin Feeling
628354d6cba0bf8c,10754d73a5f3,cn-app-dictionary.csv,California.,adě:lájǔ:hlv̋:,ᎠᏕᎳᏧᏢ,Cherokee Dictionary 1975 Durbin Feeling
a434e1fbd2d85275,7be086a9cf92,cn-app-dictionary.csv,He found out,u:de:loho:sv́,ᎤᏕᎶᎰᏒ,Cherokee Dictionary 1975 Durbin Feeling
ae2b133b57fc7701,cb8c1a7b5341,cn-app-dictionary.csv,dollars.,ade:lv̋:,ᎠᏕᎸ,Cherokee Dictionary 1975 Durbin Feeling
fe3d7342d8558032,33b5ec0d8dae,cn-app-dictionary.csv,to dive,agwade:tdi̋:,ᎠᏆᏕᏘᏗ,Cherokee Dictionary 1975 Durbin Feeling
5efca4d5e1160aad,7c325dddf447,cn-app-dictionary.csv,I am circling,ga:dé:yoha,ᎦᏕᏲᎭ.,Cherokee Dictionary 1975 Durbin Feeling
