merged_id,kirk-book-data.csv_,kirk-book-data.csv_3a,kirk-book-data.csv_CED (Cherokee),kirk-book-data.csv_CED (English),kirk-book-data.csv_CED Index,kirk-book-data.csv_CED Link,kirk-book-data.csv_Cherokee,kirk-book-data.csv_English,kirk-book-data.csv_Kirk Verb (Cherokee),kirk-book-data.csv_Kirk Verb (English),kirk-book-data.csv_Object,kirk-book-data.csv_Person,kirk-book-data.csv_Same CED,kirk-book-data.csv_Tense,kirk-book-data.csv_Tone,kirk-book-data.csv_Verb Number,kirk-book-data.csv__Kirk_Object,kirk-book-data.csv_normalized_key,kirk-book-data.csv_screenshot name,kirk-book-data.csv_source_Verb Number,learning-to-use-the-cherokee-verb.csv_,learning-to-use-the-cherokee-verb.csv_CED English,learning-to-use-the-cherokee-verb.csv_CED Entry,learning-to-use-the-cherokee-verb.csv_CED Index,learning-to-use-the-cherokee-verb.csv_CED Link,learning-to-use-the-cherokee-verb.csv_Cherokee,learning-to-use-the-cherokee-verb.csv_English,learning-to-use-the-cherokee-verb.csv_Full Tense,learning-to-use-the-cherokee-verb.csv_Index,learning-to-use-the-cherokee-verb.csv_Object,learning-to-use-the-cherokee-verb.csv_Set,learning-to-use-the-cherokee-verb.csv_Stem,learning-to-use-the-cherokee-verb.csv_Stem Number,learning-to-use-the-cherokee-verb.csv_Syllabary,learning-to-use-the-cherokee-verb.csv_Verb,learning-to-use-the-cherokee-verb.csv_Verb Number,learning-to-use-the-cherokee-verb.csv_normalized_key,learning-to-use-the-cherokee-verb.csv_source_Verb Number,lily-dict.csv_,lily-dict.csv_CED_Line,lily-dict.csv_Category,lily-dict.csv_Cross_Reference,lily-dict.csv_Culturev_Entry,lily-dict.csv_Culturev_Line,lily-dict.csv_Culturev_Link,lily-dict.csv_Definition,lily-dict.csv_Definition_Long,lily-dict.csv_Entry,lily-dict.csv_Entry_Tone,lily-dict.csv_Etymology,lily-dict.csv_Index,lily-dict.csv_MDS_syllabary_source,lily-dict.csv_Part_of_Speech,lily-dict.csv_Plural,lily-dict.csv_Plural_Syllabary,lily-dict.csv_Plural_Tone,lily-dict.csv_PoS,lily-dict.csv_Source,lily-dict.csv_Source_Long,lily-dict.csv_Syllabary,lily-dict.csv_Verb_Root,lily-dict.csv_Verb_Set,lily-dict.csv__PoS_Lily
ac1dc40845465457,,8432,,,,,ganohiha,She is bringing something %(long)%,Ganohiha,Bring (long),3s,Third Person Singular,,Present Tense,,367,3s,3s|3s|present,_bring_long.PNG,367_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba04d23b541960b7,,8452,,,,,gahnohiha,She is bringing something %(flexible)%,Gahnohiha,Bring (flexible),3s,Third Person Singular,,Present Tense,,368,3s,3s|3s|present,_bring_flexible.PNG,368_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85da381d1c8f26d5,,8472,,,,,ganhjohiha,She is bringing something %(liquid)%,Ganhjohiha,Bring (liquid),3s,Third Person Singular,,Present Tense,,369,3s,3s|3s|present,_bring_liquid.PNG,369_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf675d4d511e5030,,8507,gohosga,"it's (round, long) falling",1244,https://cherokeedictionary.net/share/73248,gohosga,It's falling from elevated position something %(long)%,Gohosga,"Fall from Elevated Position, IT (long) (same as neutral)",3s,Third Person Singular,X,Present Tense,go²ho.²sga,372,3s,3s|3s|present,_fallFromElevatedPosition_neutral.PNG,372_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1c80a77d4a06686,,8667,,,,,ahladi'a,She is placing it %(long)% on something,Ahladi'a,Place on Something (long),3s,Third Person Singular,,Present Tense,,381,3s,3s|3s|present,_placeOnSomething_long.PNG,381_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce23a57684299380,,8687,,,,,ahlvsga,She is placing it %(flexible)% on something,Ahlvsga,Place on Something(flexible),3s,Third Person Singular,,Present Tense,,382,3s,3s|3s|present,_placeOnSomething_flexible.PNG,382_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c80ee43214ccf322,,8773,aditasga,he's drinking it,285,https://cherokeedictionary.net/share/72267,aditasga,She is eating something %(liquid)%;She is drinking something %(liquid)%,Aditasga,Eating/Drink It (liquid),3s,Third Person Singular,X,Present Tense,a¹di²ta.³sga,386,3s,3s|3s|present,_eat_liquid.PNG,386_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419efda7580ee607,,8953,gahnidoha,he's handling a flexible object,1034,https://cherokeedictionary.net/share/73036,gahnidoha,She is handling something %(flexible)%;She is carrying something %(flexible)%,Gahnidoha,Handle/Carry (flexible),3s,Third Person Singular,X,Present Tense,ga.²hni²³do³²ha,395,3s,3s|3s|present,_handleCarry_flexible.PNG,395_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77cb6ee6f91d2701,,9233,,,,,adisiyv'a,She is moving something %(long)%,Adisiyv'a,Move (long),3s,Third Person Singular,,Present Tense,,409,3s,3s|3s|present,_move_long.PNG,409_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b02451a6e80eaac,,9253,,,,,ga'nv'a,She is moving something %(flexible)%,Ga'nv'a,Move (flexible),3s,Third Person Singular,,Present Tense,,410,3s,3s|3s|present,_move_flexible.PNG,410_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
