error,base_id,source,engl,phon,syll,text
Zero asterisks in sentence,6f7c53cd6e40ae33,cn-app-dictionary.csv,Are you lying to me?,sgwatsgó:ne:hás,ᏍᏆᏥᎪᏁᎭᏍ?,
Zero asterisks in sentence,6f7c53cd6e40ae33,cn-app-dictionary.csv,Are you lying to me?,sgwatsgó:ne:hás,ᏍᏆᏥᎪᏁᎭᏍ?,
Zero asterisks in sentence,6f7c53cd6e40ae33,cn-app-dictionary.csv,Are you lying to me?,sgwatsgó:ne:hás,ᏍᏆᏥᎪᏁᎭᏍ?,
Zero asterisks in sentence,6f7c53cd6e40ae33,cn-app-dictionary.csv,Are you lying to me?,sgwatsgó:ne:hás,ᏍᏆᏥᎪᏁᎭᏍ?,
Mismatched asterisk count: Syllabary(0) vs Phonetic(2),369dd7b66cacbc72,cn-app-dictionary.csv,,*hiyè:gi* à:gò:se̋:la *ù:yé:jv̌:’i*,ᎯᏰᎩ ᎠᎪᏎᎳ‚ ᎤᏰᏨᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(2),369dd7b66cacbc72,cn-app-dictionary.csv,,*hiyè:gi* à:gò:se̋:la *ù:yé:jv̌:’i*,ᎯᏰᎩ ᎠᎪᏎᎳ‚ ᎤᏰᏨᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(2),369dd7b66cacbc72,cn-app-dictionary.csv,,*hiyè:gi* à:gò:se̋:la *ù:yé:jv̌:’i*,ᎯᏰᎩ ᎠᎪᏎᎳ‚ ᎤᏰᏨᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(2),369dd7b66cacbc72,cn-app-dictionary.csv,,*hiyè:gi* à:gò:se̋:la *ù:yé:jv̌:’i*,ᎯᏰᎩ ᎠᎪᏎᎳ‚ ᎤᏰᏨᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(2),369dd7b66cacbc72,cn-app-dictionary.csv,,*hiyè:gi* à:gò:se̋:la *ù:yé:jv̌:’i*,ᎯᏰᎩ ᎠᎪᏎᎳ‚ ᎤᏰᏨᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(2),369dd7b66cacbc72,cn-app-dictionary.csv,,*hiyè:gi* à:gò:se̋:la *ù:yé:jv̌:’i*,ᎯᏰᎩ ᎠᎪᏎᎳ‚ ᎤᏰᏨᎢ.,
Zero asterisks in sentence,9434bfa938f8dd40,cn-app-dictionary.csv,He didn’t want to drive a dirty car‚ so he washed it.,hlá yu:dú:lv:hé: ga:da:ha̋ dagwalé:lâ u:hílv̀:sdi̋ nà:sginá iyű:sdi ù:nv:galv:hv̌:’î,Ꮭ ᏳᏚᎸᎮ ᎦᏓᎭ ᏓᏆᎴᎳ ᎤᎯᎸᏍᏗ ᎥᏍᎩᏅ ᎢᏳᏍᏗ ᎤᏅᎦᎸᎲᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),847b2e84e75e14c8,cn-app-dictionary.csv,,*ji:ya:dǒ:lî:gagwu*,ᏥᏯᏙᎵᎦᏊ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),847b2e84e75e14c8,cn-app-dictionary.csv,,*ji:ya:dǒ:lî:gagwu*,ᏥᏯᏙᎵᎦᏊ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),847b2e84e75e14c8,cn-app-dictionary.csv,,*ji:ya:dǒ:lî:gagwu*,ᏥᏯᏙᎵᎦᏊ.,
